paperId,topicId,topicWeight
2149,1,0.2868
215,4,0.9431
2150,1,0.9426
2151,2,0.3406
2152,2,0.5308
2153,1,0.4165
2154,1,0.4419
2155,1,0.5127
2156,1,0.5229
2157,2,0.3614
2158,7,0.6071
2159,3,0.664
216,3,0.6824
2160,1,0.9173
2161,3,0.6756
2162,1,0.5412
2163,1,0.3994
2164,1,0.59
2165,6,0.5569
2166,1,0.5827
2167,2,0.6777
2168,3,0.4129
2169,1,0.4884
217,4,0.8132
2170,4,0.7438
2171,5,0.9967
2172,1,0.6979
2173,1,0.6598
2174,3,0.6212
2175,1,0.4221
2176,3,0.4231
2177,2,0.3735
2178,2,0.3911
2179,1,0.3409
218,4,0.4722
2180,6,0.4016
2181,1,0.6365
2182,0,0.5147
2183,1,0.4869
2184,2,0.7525
2185,1,0.7284
2186,2,0.2845
2187,6,0.459
2188,4,0.6378
2189,4,0.7555
219,4,0.8939
2190,4,0.8818
2191,1,0.8508
2192,5,0.4045
2193,1,0.5589
2194,1,0.4252
2195,7,0.3037
2196,6,0.7813
2197,7,0.357
2198,3,0.4786
2199,1,0.7035
22,4,0.9
220,4,0.9889
2200,0,0.5155
2201,4,0.4969
2202,1,0.3894
2203,6,0.3476
2204,5,0.9773
2205,4,0.3444
2206,1,0.838
2207,6,0.3224
2208,6,0.6059
2209,2,0.6644
221,2,0.4835
2210,1,0.3068
2211,4,0.6184
2212,0,0.6618
2213,5,0.542
2214,1,0.8714
2215,1,0.5054
2216,1,0.5269
2217,0,0.4412
2218,0,0.5983
2219,5,0.4946
222,3,0.867
2220,1,0.7328
2221,1,0.6426
2222,3,0.4743
2223,1,0.6281
2224,7,0.3894
2225,2,0.8659
2226,1,0.4852
2227,1,0.6044
2228,5,0.857
2229,2,0.7271
223,4,0.9057
2230,1,0.5632
2231,2,0.4949
2232,1,0.5913
2233,4,0.9709
2234,1,0.5759
2235,1,0.334
2236,4,0.8209
2237,4,0.6497
2238,7,0.3844
2239,1,0.575
224,2,0.6054
2240,1,0.7955
2241,5,0.7084
2242,3,0.6225
2243,4,0.7154
2244,1,0.6691
2245,4,0.3612
2246,7,0.4599
2247,2,0.6034
2248,1,0.7285
2249,1,0.4609
225,3,0.8489
2250,1,0.8552
2251,2,0.3445
2252,7,0.4669
2253,3,0.6995
2254,4,0.8458
2255,6,0.4111
2256,7,0.48
2257,1,0.6112
2258,6,0.4426
2259,3,0.7754
226,3,0.5438
2260,1,0.5564
2261,1,0.5471
2262,1,0.5201
2263,5,0.5208
2264,6,0.3725
2265,4,0.667
2266,1,0.6692
2267,1,0.7217
2268,0,0.7978
2269,1,0.3769
227,3,0.5801
2270,2,0.8491
2271,0,0.4049
2272,3,0.732
2273,1,0.4074
2274,6,0.4074
2275,1,0.6582
2276,1,0.3564
2277,0,0.4517
2278,7,0.4728
2279,1,0.6923
228,3,0.7686
2280,1,0.4945
2281,1,0.6447
2282,1,0.5485
2283,4,0.3138
2284,7,0.6189
2285,3,0.6637
2286,0,0.2992
2287,1,0.369
2288,0,0.782
2289,3,0.4385
229,3,0.7907
2290,6,0.6031
2291,1,0.586
