author_id,institution_id
4330, 354 
4331, 410 
4333, 904 
4339, 138 
4340, 585 
4344, 674 
4346, 1 
4347, 946 
4348, 958 
4349, 96 
4350, 247 
4351, 36 
4354, 585 
4355, 585 
4362, 607 
4366, 731 
4368, 685 
4369, 227 
4370, 239 
4372, 873 
4374, 551 
4376, 221 
4377, 929 
4379, 940 
4382, 477 
4383, 389 
4389, 847 
439, 528 
4390, 1 
4391, 814 
4393, 1 
4395, 664 
4398, 393 
4399, 54 
4406, 530 
4407, 334 
4409, 569 
4410, 679 
4412, 813 
4413, 735 
4421, 239 
4422, 42 
4423, 410 
4424, 975 
4425, 948 
4426, 578 
4429, 993 
4432, 1043 
4435, 929 
4437, 121 
4439, 126 
4441, 596 
4442, 851 
4443, 674 
4444, 821 
4445, 780 
4447, 217 
4448, 857 
4449, 896 
4450, 896 
4451, 1050 
4452, 149 
4454, 821 
4458, 952 
4460, 766 
4474, 61 
4477, 579 
4481, 391 
4483, 121 
4484, 126 
4485, 306 
4490, 187 
4491, 452 
4492, 612 
4495, 1011 
4498, 940 
4499, 239 
4501, 879 
4503, 192 
4505, 497 
4506, 585 
4507, 375 
4509, 940 
4515, 980 
4516, 664 
4517, 952 
4518, 316 
4519, 227 
4520, 637 
4522, 410 
4523, 497 
4524, 227 
4526, 875 
4529, 901 
4530, 952 
4533, 732 
4534, 524 
4536, 585 
454, 664 
4540, 775 
4541, 375 
4545, 717 
4557, 182 
4561, 958 
4563, 958 
4569, 410 
4570, 532 
4571, 678 
4573, 227 
4575, 89 
4577, 715 
4578, 340 
4580, 1010 
4588, 892 
459, 58 
4590, 92 
4592, 948 
4595, 155 
460, 821 
4603, 1050 
4605, 630 
4609, 898 
461, 721 
4612, 486 
4613, 674 
4618, 775 
4619, 900 
4622, 766 
4624, 439 
463, 890 
4630, 676 
4632, 946 
4633, 930 
4635, 888 
4636, 1031 
4637, 1031 
4638, 903 
4639, 29 
4641, 66 
4643, 915 
4644, 806 
4646, 806 
4648, 806 
465, 334 
4650, 114 
4651, 806 
4653, 796 
4656, 669 
4663, 50 
4664, 469 
4666, 506 
4667, 105 
4671, 285 
4675, 577 
4676, 903 
4682, 712 
4685, 739 
4686, 801 
4687, 89 
4688, 522 
4690, 497 
4691, 885 
4694, 585 
47, 758 
4702, 548 
4703, 548 
4704, 403 
4711, 138 
4714, 851 
4715, 952 
4716, 121 
472, 560 
4721, 80 
4722, 665 
4730, 294 
4733, 126 
4734, 410 
4735, 497 
4736, 737 
4737, 875 
4738, 729 
4742, 952 
4743, 289 
4748, 410 
4749, 585 
4751, 227 
4753, 522 
4754, 665 
4755, 121 
4761, 938 
4764, 276 
4766, 585 
4767, 585 
4769, 585 
4774, 952 
4778, 1028 
4780, 1027 
4781, 915 
4782, 859 
4786, 796 
4788, 839 
4789, 121 
4791, 816 
4794, 637 
4795, 585 
4797, 491 
4798, 281 
4799, 192 
48, 1051 
4804, 227 
4806, 473 
4807, 511 
4808, 227 
4817, 940 
4820, 875 
4822, 371 
4823, 508 
4826, 896 
4828, 859 
4829, 266 
4830, 173 
4831, 105 
4833, 422 
4837, 409 
4841, 89 
4842, 239 
4843, 196 
4846, 892 
4853, 636 
4856, 175 
4857, 89 
4858, 894 
4859, 894 
4860, 227 
4864, 24 
4865, 422 
4867, 320 
4873, 529 
4875, 84 
4876, 97 
4877, 634 
4879, 15 
4880, 56 
4881, 174 
4882, 187 
4883, 956 
4885, 29 
4887, 1026 
4889, 612 
4891, 864 
4892, 631 
4893, 626 
4894, 585 
4896, 206 
4900, 796 
4905, 859 
4906, 585 
4907, 435 
4913, 89 
4917, 940 
492, 470 
4920, 585 
4921, 162 
4922, 294 
4923, 709 
4925, 126 
4926, 1017 
4929, 29 
4930, 929 
4934, 805 
4935, 805 
4936, 184 
4937, 805 
4938, 688 
4943, 929 
4944, 419 
4945, 227 
4946, 735 
4951, 482 
4953, 36 
4955, 691 
4956, 227 
4958, 493 
4959, 197 
4960, 915 
4963, 558 
4965, 573 
4967, 344 
4969, 551 
4970, 197 
4971, 451 
498, 812 
4981, 814 
4983, 1 
4984, 114 
4985, 682 
4987, 955 
4988, 955 
4992, 1021 
4994, 720 
4996, 733 
500, 947 
5001, 507 
5003, 409 
5004, 118 
5008, 605 
5009, 1 
501, 482 
5017, 227 
5031, 952 
5033, 422 
5034, 187 
5036, 382 
5037, 279 
5038, 777 
5041, 122 
5042, 279 
5045, 16 
5050, 915 
5052, 89 
5053, 239 
5058, 89 
5062, 952 
5063, 1051 
5064, 89 
5065, 227 
5067, 986 
5068, 744 
5069, 744 
5070, 352 
5073, 952 
5075, 890 
5077, 227 
5078, 71 
5084, 80 
5085, 491 
5087, 732 
5088, 473 
5091, 462 
5093, 674 
5094, 493 
5096, 493 
5097, 89 
5098, 521 
51, 791 
5101, 395 
5102, 365 
5106, 664 
5107, 863 
5109, 182 
5110, 979 
5112, 140 
5113, 314 
5114, 1036 
5115, 334 
5117, 227 
5119, 227 
5121, 225 
5122, 16 
5125, 958 
5126, 958 
5127, 536 
5128, 888 
5131, 1018 
5132, 227 
5133, 227 
5135, 410 
5136, 419 
5142, 419 
5143, 723 
5144, 805 
5147, 872 
5148, 591 
5149, 522 
5151, 536 
5152, 126 
5156, 335 
5157, 452 
516, 903 
5160, 986 
5168, 89 
5169, 314 
517, 102 
5170, 314 
5171, 550 
5172, 550 
5174, 664 
5176, 585 
5179, 227 
518, 129 
5180, 136 
5183, 195 
5184, 673 
5186, 536 
5187, 89 
5189, 149 
5193, 77 
5194, 750 
5197, 851 
5199, 1018 
520, 674 
5200, 419 
5203, 729 
5206, 259 
5208, 389 
5209, 169 
5210, 796 
5211, 407 
5212, 958 
5214, 950 
5215, 860 
5216, 57 
5217, 15 
5218, 462 
522, 404 
5224, 64 
5225, 655 
5228, 800 
5229, 711 
5230, 192 
5232, 524 
5235, 813 
5238, 940 
5239, 241 
5242, 227 
5243, 585 
5244, 1028 
5245, 166 
5246, 952 
5249, 952 
5250, 952 
5252, 292 
5255, 289 
5256, 289 
5257, 585 
5258, 89 
5259, 289 
5260, 958 
5266, 902 
5267, 93 
5273, 121 
5274, 239 
5275, 786 
5285, 227 
5288, 227 
5289, 971 
5292, 50 
5293, 863 
5296, 126 
5298, 833 
530, 772 
5300, 69 
5301, 847 
5302, 334 
5303, 865 
5306, 80 
5308, 221 
5309, 664 
531, 121 
5311, 598 
5313, 727 
5318, 149 
5325, 940 
5326, 117 
5330, 548 
5331, 398 
5333, 410 
5334, 732 
5340, 126 
5342, 522 
5344, 585 
5345, 793 
5346, 71 
5347, 121 
5348, 950 
5350, 896 
5352, 210 
5354, 892 
5355, 637 
5356, 589 
5357, 958 
5368, 263 
5369, 573 
5370, 958 
5373, 243 
5375, 617 
5377, 617 
5381, 615 
5382, 951 
5383, 548 
5388, 585 
539, 585 
5393, 369 
5394, 227 
5397, 939 
5398, 863 
54, 552 
5401, 637 
5403, 294 
5405, 536 
5407, 374 
5408, 664 
5409, 753 
541, 985 
5410, 346 
5411, 801 
5412, 357 
5413, 236 
5417, 138 
5418, 768 
5421, 627 
5422, 782 
5423, 928 
5426, 192 
5427, 221 
5430, 938 
5431, 462 
5432, 314 
5435, 97 
5437, 29 
5438, 859 
5439, 535 
5441, 573 
5442, 930 
5445, 11 
5446, 984 
5448, 182 
5450, 892 
5451, 1028 
5456, 511 
5457, 89 
5459, 712 
5460, 304 
5464, 442 
5465, 772 
5468, 1000 
5471, 504 
5472, 504 
5474, 915 
5476, 940 
5477, 952 
5481, 227 
5482, 252 
5483, 227 
5485, 227 
5488, 24 
5489, 833 
5491, 274 
5493, 585 
5494, 585 
5495, 410 
5496, 262 
5501, 419 
5502, 863 
5503, 227 
5508, 762 
5509, 772 
551, 910 
5510, 279 
5511, 938 
5512, 938 
5516, 347 
5517, 748 
552, 914 
5521, 703 
5524, 991 
5527, 991 
5528, 991 
5534, 719 
5535, 489 
5536, 381 
